indice,Chiarezza e comprensibilità,Completezza,Struttura e organizzazione,Utilità e pertinenza,Tempo e risorse necessari
0,9.5,8.0,9.0,8.5,9.5
1,8.0,5.0,6.0,7.0,6.0
2,9.5,9.0,8.5,8.5,9.5
3,7.5,4.0,5.5,5.5,6.5
4,9.0,8.0,9.0,8.0,9.0
5,8.0,5.0,6.0,7.0,7.0
6,7.5,6.0,6.0,6.5,6.5
7,9.5,9.0,7.5,9.0,9.0
8,9.0,7.5,7.5,7.5,8.0
9,8.5,6.5,7.5,6.0,7.0
10,9.0,7.0,7.0,8.0,8.0
11,6.0,3.0,5.0,3.5,4.0
12,8.5,9.0,8.5,8.0,8.5
13,8.0,8.0,7.0,8.0,8.0
14,7.0,3.5,5.5,5.5,5.5
15,8.0,4.5,6.5,5.5,6.0
16,8.0,7.0,7.0,7.0,7.5
17,8.5,7.0,6.5,6.5,7.5
18,8.0,6.0,6.0,6.5,7.0
19,9.0,8.5,7.5,8.5,8.0
20,8.0,6.0,7.0,6.0,7.0
